CustomerKey,CustomerID,FullName,Gender,DateOfBirth,PhoneNumber,Email,Address,City,Province,Country,CustomerType,IsLoyalCustomer,JoinDate,IsActive,Version,EffectiveFrom,EffectiveTo,IsCurrent,Age
1,CUST-100001,Maria Serrano,Female,1980-05-29,+1-489-621-1256,ofletcher@example.org,06950 Andre Curve Suite 373,West Abigail,Minnesota,Ireland,Retail,False,2006-08-23,False,1,2020-01-01,2021-04-20,False,45
1,CUST-100001,Maria Serrano,Female,1980-05-29,+1-489-621-1256,ofletcher@example.org,06950 Andre Curve Suite 373,West Abigail,Minnesota,Ireland,Retail,False,2006-02-26,False,2,2021-04-21,9999-12-31,True,45
2,CUST-100002,Debra Porter,Male,1993-07-09,839-932-2902x4834,christopherhenderson@example.org,109 Stone Union,Port Angela,Nevada,Cocos (Keeling) Islands,Wholesale,True,2011-12-27,True,1,2020-01-01,2020-09-03,False,32
2,CUST-100002,Debra Porter,Male,1993-07-09,839-932-2902x4834,christopherhenderson@example.org,109 Stone Union,Port Angela,Nevada,Cocos (Keeling) Islands,Wholesale,False,2013-02-25,False,2,2020-09-04,2021-05-25,False,32
2,CUST-100002,Debra Porter,Male,1993-07-09,839-932-2902x4834,christopherhenderson@example.org,109 Stone Union,Port Angela,Nevada,Cocos (Keeling) Islands,Wholesale,True,2014-12-19,True,3,2021-05-26,9999-12-31,True,32
3,CUST-100003,Scott Burke,Female,2007-01-30,712.774.8247x0635,smithtabitha@example.net,08573 Brown Village Suite 849,Rodriguezmouth,Utah,Bhutan,Online,False,2020-01-01,True,1,2020-01-01,2020-10-17,False,18
3,CUST-100003,Scott Burke,Female,2007-01-30,712.774.8247x0635,smithtabitha@example.net,08573 Brown Village Suite 849,Rodriguezmouth,Utah,Bhutan,Online,False,2020-10-18,False,2,2020-10-18,2021-04-29,False,18
3,CUST-100003,Scott Burke,Female,2007-01-30,712.774.8247x0635,smithtabitha@example.net,08573 Brown Village Suite 849,Rodriguezmouth,Utah,Bhutan,Online,False,2021-04-30,True,3,2021-04-30,9999-12-31,True,18
4,CUST-100004,George Fleming,Female,1976-11-02,499.866.1192x17190,jacksonangela@example.com,60847 Harris Dale,Jonesview,New York,American Samoa,Wholesale,False,2007-10-05,True,1,2020-01-01,9999-12-31,True,48
5,CUST-100005,Monica Nichols,Female,1990-08-03,240-710-6224,xyoung@example.com,840 Blake Garden,Hartport,Delaware,Saint Helena,Wholesale,True,2012-02-06,True,1,2020-01-01,9999-12-31,True,34
6,CUST-100006,Susan Oneill,Male,1982-01-14,+1-207-859-9627,kendra16@example.org,1413 Justin Coves,North Matthew,North Dakota,Iraq,Retail,False,2007-09-17,True,1,2020-01-01,9999-12-31,True,43
7,CUST-100007,John Turner,Female,1964-03-31,+1-949-679-3521x20183,tylerknight@example.com,3846 Michael Light,Port Lisa,South Carolina,Norway,Retail,True,1990-01-28,False,1,2020-01-01,2020-12-10,False,61
7,CUST-100007,John Turner,Female,1964-03-31,+1-949-679-3521x20183,tylerknight@example.com,3846 Michael Light,Port Lisa,South Carolina,Norway,Retail,False,1996-08-14,False,2,2020-12-11,2022-01-14,False,61
7,CUST-100007,John Turner,Female,1964-03-31,+1-949-679-3521x20183,tylerknight@example.com,3846 Michael Light,Port Lisa,South Carolina,Norway,Retail,True,2021-12-17,True,3,2022-01-15,9999-12-31,True,61
8,CUST-100008,John Davis,Male,1969-10-29,5192487855,estesheather@example.net,481 Mejia Prairie Suite 390,East David,Delaware,French Southern Territories,Wholesale,False,1999-12-03,False,1,2020-01-01,2020-11-13,False,55
8,CUST-100008,John Davis,Male,1969-10-29,5192487855,estesheather@example.net,481 Mejia Prairie Suite 390,East David,Delaware,French Southern Territories,Wholesale,False,2018-02-06,False,2,2020-11-14,2022-03-23,False,55
8,CUST-100008,John Davis,Male,1969-10-29,5192487855,estesheather@example.net,481 Mejia Prairie Suite 390,East David,Delaware,French Southern Territories,Wholesale,False,2017-05-28,False,3,2022-03-24,9999-12-31,True,55
9,CUST-100009,Katherine Bullock,Female,1992-12-16,+1-980-383-2268x024,timothywhitehead@example.com,180 Nancy Branch Apt. 349,Lake Jamesport,Mississippi,Saint Vincent and the Grenadines,Online,True,2018-02-08,False,1,2020-01-01,9999-12-31,True,32
10,CUST-100010,Michele Gates,Male,1992-08-08,+1-701-656-8725x90321,andrew72@example.org,51264 Robert Fords Apt. 005,Schwartzshire,South Dakota,Finland,Online,False,2019-05-23,True,1,2020-01-01,2020-08-23,False,32
10,CUST-100010,Michele Gates,Male,1992-08-08,+1-701-656-8725x90321,andrew72@example.org,51264 Robert Fords Apt. 005,Schwartzshire,South Dakota,Finland,Online,True,2020-06-17,True,2,2020-08-24,9999-12-31,True,32
11,CUST-100011,Amanda Gomez,Male,1992-03-25,7975117216,garnercharles@example.net,4611 Gina Junctions,Port Arthur,Nebraska,Ireland,Wholesale,False,2012-05-03,False,1,2020-01-01,2021-03-17,False,33
11,CUST-100011,Amanda Gomez,Male,1992-03-25,7975117216,garnercharles@example.net,4611 Gina Junctions,Port Arthur,Nebraska,Ireland,Wholesale,False,2011-01-18,False,2,2021-03-18,2022-03-28,False,33
11,CUST-100011,Amanda Gomez,Male,1992-03-25,7975117216,garnercharles@example.net,4611 Gina Junctions,Port Arthur,Nebraska,Ireland,Wholesale,False,2011-01-31,False,3,2022-03-29,9999-12-31,True,33
12,CUST-100012,Andrew Roberts,Male,1997-01-21,808-858-4058,natalie95@example.net,4283 Morgan Terrace,Rowlandview,Kansas,Costa Rica,Online,True,2018-12-28,True,1,2020-01-01,2021-02-13,False,28
12,CUST-100012,Andrew Roberts,Male,1997-01-21,808-858-4058,natalie95@example.net,4283 Morgan Terrace,Rowlandview,Kansas,Costa Rica,Online,False,2017-04-01,False,2,2021-02-14,2021-08-14,False,28
