CustomerKey,CustomerID,FullName,Gender,DateOfBirth,Age,PhoneNumber,Email,Address,City,Province,Country,CustomerType,IsLoyalCustomer,JoinDate,IsActive,CreateDate
1,CUST-100001,John Blake,Male,1984-11-09,41,(756)507-5559x4103,davidkelly@example.org,4929 Bryan Forest Apt. 570,New William,Hawaii,Lesotho,Wholesale,True,2014-08-26,True,2017-05-26
2,CUST-100002,Robert Kemp,Male,1999-01-07,26,5424043649,nathangonzalez@example.com,166 Suzanne Parkways,Davisstad,Delaware,Reunion,Retail,True,2024-01-21,True,2024-02-12
3,CUST-100003,Nathaniel Davis,Male,1972-11-14,53,001-280-843-3084x2120,ashley92@example.net,469 Sheri Isle,New David,North Dakota,Bahamas,Wholesale,True,2004-02-23,False,2005-11-23
4,CUST-100004,Hailey Daugherty,Female,1985-06-02,40,001-617-307-7319x095,michellebrown@example.com,5023 Ronald Plaza,East Jeannebury,Vermont,Cocos (Keeling) Islands,Retail,True,2007-10-23,False,2009-02-26
5,CUST-100005,Rachel Flynn,Female,2003-10-30,22,2722277368,michelenunez@example.org,327 Ruiz Estates Suite 026,West Marytown,New York,Saint Martin,Wholesale,False,2025-04-16,True,2025-05-04
6,CUST-100006,Theresa Smith,Female,1996-02-06,29,484.738.1627x3912,jacobsonruth@example.com,64501 Johnson Underpass Suite 190,Fitzpatrickburgh,Ohio,Kazakhstan,Retail,True,2021-04-08,False,2021-12-29
7,CUST-100007,Carlos Walters,Male,1956-05-10,69,578.660.3744x08588,moracynthia@example.org,81270 Jeanne Pine Apt. 806,Port Timothymouth,Montana,New Caledonia,Online,True,1987-09-16,False,2005-05-22
8,CUST-100008,Alexander Bond,Male,1993-02-04,32,(732)899-8043x4780,jacobslinda@example.net,2754 John River,Gordonshire,Nevada,Lesotho,Wholesale,True,2011-11-22,False,2018-04-02
9,CUST-100009,Nicole Fowler,Female,1998-01-14,27,7403450250,emily83@example.com,86571 William Isle Apt. 677,East Anthony,Vermont,Sao Tome and Principe,Retail,True,2017-02-19,False,2020-10-11
10,CUST-100010,Terri Werner,Female,1973-09-03,52,001-971-893-7232x199,jeremyevans@example.org,9912 Heidi Highway,Lake Stephanieton,Alabama,Mauritania,Online,False,2019-11-15,False,2022-07-07
11,CUST-100011,Charles Ross,Male,2003-04-17,22,001-541-585-5408x4882,dprice@example.com,2001 Walls Dale,Port David,New Jersey,Oman,Wholesale,True,2021-04-21,False,2024-07-08
12,CUST-100012,Collin Johnson,Male,2002-08-04,23,(360)617-0843,ashley10@example.net,75583 Rodriguez Shore Suite 788,East Seanmouth,Oklahoma,Palau,Wholesale,False,2020-10-18,False,2025-05-23
13,CUST-100013,John Hernandez,Male,1980-06-01,45,001-561-872-6078,jenniferfreeman@example.net,7629 Amanda Common,West Justin,Alaska,Sierra Leone,Online,True,2002-08-27,True,2014-01-18
14,CUST-100014,Carolyn Garcia,Female,2004-03-30,21,398.642.1246x202,corey94@example.net,272 Thomas Freeway Suite 298,East Steve,Vermont,Zambia,Retail,False,2023-06-30,True,2025-04-08
15,CUST-100015,Kevin Bell,Male,1959-11-02,66,+1-538-509-3374x0503,boothmichael@example.net,38777 Joshua Estates,West Curtis,Kentucky,Western Sahara,Wholesale,False,2007-11-14,False,2022-04-24
16,CUST-100016,Ashley Miller,Female,1981-03-01,44,447-884-8692x94232,wendyjacobs@example.org,150 Jensen Cliff,Mooreburgh,New Jersey,New Zealand,Online,False,2011-08-18,False,2019-08-03
17,CUST-100017,Monica Fuller,Female,1991-06-28,34,384-824-8473x29425,kjohnson@example.org,510 Rhodes Glens Apt. 789,Fosterstad,South Carolina,Liechtenstein,Online,True,2015-11-20,False,2021-10-13
18,CUST-100018,Valerie Franklin,Female,1960-12-03,65,001-779-489-5672x1059,umoore@example.com,510 Pratt Cape Apt. 579,Joshuaborough,Pennsylvania,Cocos (Keeling) Islands,Wholesale,True,2008-12-14,True,2023-01-09
19,CUST-100019,Joseph Stewart,Male,2000-06-28,25,(276)654-5519x323,jamesbailey@example.com,97958 Patrick Cliff Suite 768,Lake Gregorystad,New York,American Samoa,Retail,False,2020-10-14,False,2024-11-24
20,CUST-100020,Benjamin Harris,Male,1980-05-14,45,001-790-987-1231x08162,ariasandrea@example.com,27015 Thompson Street Suite 951,Brianchester,Iowa,Turks and Caicos Islands,Retail,False,2011-03-29,True,2022-05-19
21,CUST-100021,Robert Waters,Male,1970-09-20,55,384-209-6776x28574,qmccormick@example.net,69526 Jeanne Forge,Baileyhaven,North Carolina,Serbia,Online,True,2024-03-22,True,2025-02-06
22,CUST-100022,Anna Williams,Female,1956-07-09,69,(359)554-9876x2191,janiceray@example.com,34639 Cynthia Viaduct,Nancybury,Kansas,Philippines,Wholesale,False,2014-12-28,False,2023-12-31
23,CUST-100023,Matthew Gray,Male,1993-09-26,32,001-353-556-9912x829,candace56@example.com,5613 Miller Street Apt. 345,New Matthew,South Dakota,United States Minor Outlying Islands,Wholesale,True,2022-08-27,True,2024-01-07
24,CUST-100024,Tony Stone,Male,1982-04-28,43,+1-875-994-0063,silvajames@example.org,949 Coleman Squares,Sharontown,North Carolina,United States Virgin Islands,Retail,False,2014-09-20,False,2019-02-16
25,CUST-100025,Rick Johnson,Male,1963-08-07,62,(360)482-3432,odonnellpatrick@example.net,015 Margaret Lake Suite 869,Julieborough,Missouri,Yemen,Wholesale,True,2023-10-10,True,2025-02-14
26,CUST-100026,Mark Krueger,Male,1992-07-14,33,384.247.2364,williamseric@example.net,041 Kristin Road,Lake Tonyside,Minnesota,Ethiopia,Online,False,2011-02-07,False,2021-10-31
27,CUST-100027,Alexis Johnson,Female,1972-09-18,53,209.941.7016x2960,daniel50@example.org,6330 Santiago Passage Apt. 141,Lake Johnchester,South Carolina,Libyan Arab Jamahiriya,Retail,False,1999-12-16,False,2003-06-26
28,CUST-100028,Ashley Moore,Female,2006-04-12,19,427.628.8445,garyrichards@example.net,40584 Jonathan Highway,New Ryanhaven,New Hampshire,Rwanda,Wholesale,True,2024-11-25,False,2025-02-24
29,CUST-100029,Eugene Johnson,Male,1991-09-04,34,355-459-7627,donald44@example.com,23152 Katherine Plains,South Michele,Mississippi,Lithuania,Retail,False,2014-06-21,True,2019-05-29
30,CUST-100030,Anthony Haney,Male,1956-01-28,69,284.836.6944,leonard33@example.com,18716 Christine Parks Suite 358,Jamesmouth,Illinois,Zimbabwe,Retail,False,2000-11-28,True,2024-10-30
31,CUST-100031,Alex Pacheco,Male,1987-01-08,38,(234)757-4876x2314,cclark@example.com,72611 William Cove,West Daniel,Nevada,Benin,Online,False,2022-10-03,False,2024-03-08
32,CUST-100032,Cynthia Thomas,Female,1963-06-02,62,(387)562-2018x0370,roger19@example.com,0343 Smith Pine Apt. 859,Jamesville,South Dakota,United States of America,Online,True,2001-07-30,True,2012-06-02
33,CUST-100033,Cassie Rollins,Female,1979-03-12,46,755.443.0854,rjennings@example.net,317 Carol Isle Apt. 561,New Karen,West Virginia,Ireland,Retail,True,2017-05-26,True,2019-06-02
34,CUST-100034,Brittany Landry,Female,1981-06-16,44,(414)828-9019x02042,justinrichard@example.org,809 Jennifer Ports Suite 831,West Erik,Nebraska,Chad,Retail,True,2014-12-13,True,2017-01-11
35,CUST-100035,William Little,Male,1990-07-23,35,(350)323-9563x638,troycarpenter@example.net,68322 Autumn Extension Suite 524,West Valerie,Montana,Liechtenstein,Retail,True,2017-09-21,True,2024-10-27
36,CUST-100036,Tyler Webb,Male,1986-10-06,39,738-326-7767,dianaturner@example.net,4043 Johnson Village,New Caseymouth,Vermont,Congo,Online,False,2021-03-08,False,2021-10-28
37,CUST-100037,Marissa Gibson,Female,2003-04-20,22,541-280-9888x973,hstark@example.org,45934 Daniel Fork,Millerfort,Michigan,United States Minor Outlying Islands,Online,False,2025-04-28,False,2025-05-17
38,CUST-100038,Cheyenne Thompson,Female,2005-12-03,20,642-713-8613x56646,susanvasquez@example.org,831 Collin Falls Apt. 285,Lake Joshuaville,Kansas,Micronesia,Online,True,2024-04-25,False,2024-07-26
39,CUST-100039,Susan Johnson,Female,1983-02-05,42,433-999-4983x160,martinezashley@example.net,730 Tran Expressway Suite 828,Jessicachester,Illinois,Palau,Online,False,2006-06-13,True,2018-10-22
40,CUST-100040,Catherine Flores,Female,1995-12-15,30,9936189962,coxpeter@example.net,557 Diana Cliffs,Kathyport,Florida,Iran,Wholesale,True,2019-10-07,False,2022-08-25
41,CUST-100041,David Mitchell MD,Male,1986-05-15,39,335-384-8363x13154,zrodriguez@example.net,061 Eric Place Suite 332,East Connieville,Oregon,Armenia,Online,True,2023-05-24,True,2025-03-10
42,CUST-100042,Amanda Watkins,Female,1958-06-15,67,001-992-281-5155x11565,john03@example.net,75906 Merritt Station,Gloverville,New Jersey,Nauru,Retail,True,2024-12-20,False,2025-03-06
43,CUST-100043,Carlos Robertson,Male,1970-08-14,55,+1-785-948-7408,olopez@example.org,041 Thomas Park Suite 643,Pamelaberg,Michigan,San Marino,Online,False,1997-09-01,False,2006-12-16
44,CUST-100044,Caitlin Carpenter,Female,1955-03-10,70,478-447-2344x0808,jeffrey41@example.org,129 Moss Loop,East Josephview,Maine,Jersey,Online,True,2016-09-12,False,2022-05-27
45,CUST-100045,Jacob Smith,Male,1986-07-16,39,001-342-464-0661x06306,joshuacopeland@example.net,9694 Eric Station,Nguyenshire,Nebraska,Turkmenistan,Online,True,2023-06-15,False,2023-12-05
46,CUST-100046,Kimberly Miller,Female,1959-12-26,66,001-581-531-2082x3503,carl64@example.net,3313 Michael Spurs Apt. 468,Scottview,Kentucky,Fiji,Wholesale,False,1978-04-20,True,1979-03-17
47,CUST-100047,Thomas Gregory,Male,1963-11-28,62,+1-571-283-3563x277,stephensjessica@example.com,5271 Derek Views Suite 529,Victoriashire,Colorado,Turkey,Wholesale,True,2018-02-07,True,2020-09-25
48,CUST-100048,Oscar Smith,Male,1959-05-02,66,+1-918-887-9468,mark24@example.org,21929 Wilson Village,Prestonfurt,Nebraska,Armenia,Online,True,2001-09-11,True,2021-05-22
49,CUST-100049,Amber Morgan,Female,2001-12-06,24,(597)987-0168,imathews@example.org,9855 Norman Walks Apt. 053,North Meganton,Maryland,Hungary,Wholesale,False,2022-03-22,False,2024-08-04
50,CUST-100050,Kelly Cooper,Female,1959-12-02,66,+1-274-498-0758,njohnson@example.org,472 Ashley Parkways,Port Rebeccamouth,Kansas,Comoros,Wholesale,True,2001-06-20,False,2013-10-29
51,CUST-100051,Katrina Morris,Female,1978-10-13,47,927.617.7578x19944,tayloranthony@example.org,873 Davis Place Suite 825,Robertport,Michigan,United States of America,Wholesale,True,2014-08-14,True,2018-07-18
52,CUST-100052,John Barnes,Male,1990-05-22,35,6502840689,dhughes@example.com,508 Justin Motorway Apt. 592,Henryville,Wyoming,Sweden,Wholesale,True,2014-07-01,False,2017-11-10
53,CUST-100053,Carlos Thomas,Male,1987-04-08,38,858.931.5092x04474,andres79@example.org,1156 Leah Union,Edwardside,Arkansas,Saint Martin,Wholesale,False,2009-08-16,False,2023-07-02
